ASN Info,Domain,Num of Resolver
AS9808,10086.cn,10
AS63835,189.cn,1
AS11172,alestra.com.mx,1
AS36947,algerietelecom.dz,1
AS37963,alibabagroup.com,218
AS203380,alphavps.com,1
AS16509,amazon.com,4
AS43754,asiatech.ir,3
AS60077,asiatech.ir,1
AS204203,atrinnet.net,1
AS8473,bahnhof.se,1
AS17429,bgctv.com.cn,3
AS2518,biglobe.co.jp,1
AS38482,biznetnetworks.com,1
AS29518,bredband2.com,2
AS328323,brilliantel.co.za,1
AS2856,bt.com,2
AS4847,bta.net.cn,25
AS9931,cat.net.th,2
AS60068,cdn77.com,1
AS4538,cernet.edu.cn,86
AS11427,charter.com,1
AS10212,china-entercom.net,2
AS56041,chinamobile.com,13
AS56046,chinamobile.com,8
AS56048,chinamobile.com,8
AS24444,chinamobile.com,6
AS24400,chinamobile.com,3
AS38019,chinamobile.com,2
AS24445,chinamobile.com,2
AS134810,chinamobile.com,1
AS139080,chinamobile.com,1
AS134771,chinatelecom.cn,33
AS58563,chinatelecom.cn,21
AS38283,chinatelecom.cn,16
AS138950,chinatelecom.cn,11
AS133775,chinatelecom.cn,9
AS140292,chinatelecom.cn,9
AS136188,chinatelecom.cn,8
AS137697,chinatelecom.cn,8
AS133774,chinatelecom.cn,7
AS137702,chinatelecom.cn,5
AS134238,chinatelecom.cn,5
AS58543,chinatelecom.cn,5
AS23724,chinatelecom.cn,5
AS133776,chinatelecom.cn,4
AS134764,chinatelecom.cn,3
AS136190,chinatelecom.cn,3
AS136200,chinatelecom.cn,3
AS139019,chinatelecom.cn,3
AS58466,chinatelecom.cn,2
AS134420,chinatelecom.cn,2
AS134762,chinatelecom.cn,1
AS134768,chinatelecom.cn,1
AS139203,chinatelecom.cn,1
AS134760,chinatelecom.cn,1
AS4134,chinatelecom.com.cn,126
AS4811,chinatelecom.com.cn,70
AS4812,chinatelecom.com.cn,21
AS4835,chinatelecom.com.cn,2
AS4837,chinaunicom.cn,88
AS4808,chinaunicom.cn,32
AS17621,chinaunicom.cn,3
AS136959,chinaunicom.cn,1
AS17622,chinaunicom.cn,1
AS17816,chinaunicom.cn,1
AS40568,cira.ca,1
AS14080,claro.com.co,1
AS12252,claro.com.pe,1
AS13335,cloudflare.com,23
AS7497,cnic.cn,4
AS63612,cnnic.cn,82
AS59009,cnnic.cn,1
AS63663,cnnic.cn,1
AS137788,cnnic.cn,1
AS7922,comcast.com,1
AS58448,conac.cn,6
AS398962,controld.com,10
AS4609,ctm.net,1
AS205157,danielselectric.com,12
AS50902,dns0.eu,1
AS9811,drc.gov.cn,1
AS17878,dream-mark1.co.kr,1
AS13657,egate.net,1
AS5384,emirates.net.ae,1
AS200462,eth-services.de,1
AS9145,ewe.com,1
AS133982,excitel.com,1
AS62442,fanavaidc.com,1
AS9814,fibrlink.com,2
AS40509,fly.io,2
AS134773,gd.gov.cn,4
AS141216,gghnet.com,1
AS208972,gibir.net.tr,1
AS2116,globalconnect.no,1
AS4775,globe.com.ph,1
AS24940,hetzner.de,2
AS9304,hgc-intl.com,1
AS139007,hh.nm.cn,18
AS3462,hinet.net,1
AS9269,hkbn.net,1
AS34254,hornet.pl,1
AS1136,idstrategy.com.ua,1
AS17995,iforte.co.id,29
AS37019,intersat.ae,1
AS212675,itglobal.com,1
AS23650,jsinfo.net,19
AS13026,k-wlan.at,1
AS4766,kt.com,9
AS17858,lguplus.co.kr,1
AS35369,linzag-telekom.at,1
AS24921,lmt.lv,6
AS48214,lordvps.net,1
AS262916,megacable.com.mx,1
AS30600,metronet.com,1
AS8075,microsoft.com,2
AS16629,movistar.cl,1
AS3352,movistar.es,1
AS136291,mpsedc.com,5
AS9905,multipolar.co.id,1
AS36236,netactuate.com,1
AS4760,netvigator.com,3
AS34939,nextdns.io,8
AS137693,nn.gx.cn,7
AS58262,nrp.co,1
AS64266,nutanix.com,1
AS44709,omc.co.il,1
AS23673,online.com.kh,1
AS31898,oracle.com,1
AS3215,orange.com,1
AS60631,parspack.com,2
AS208161,parsvds.net,1
AS59029,people.com.cn,1
AS27895,personal.com.py,1
AS34918,pishgaman.net,2
AS9875,psn.co.id,30
AS42337,respina.net,2
AS56765,sbu.ac.ir,1
AS9812,scn.com.cn,1
AS37100,seacom.com,1
AS31549,shatel.ir,3
AS9318,skbroadband.com,8
AS131267,startelecom.ca,1
AS34984,superonline.net,1
AS12708,talktalkplc.com,3
AS58224,tci.ir,2
AS21391,tda.dz,1
AS4771,telepermit.co.nz,1
AS8151,telmex.com,2
AS45090,tencent.com,22
AS27831,tigo.com.co,1
AS8612,tiscali.it,1
AS32098,transtelco.net,1
AS135377,ucloud.cn,1
AS217,umn.edu,1
AS207604,united.rs,1
AS138136,unram.ac.id,1
AS42532,veesp.com,1
AS701,verizonbusiness.com,1
AS15924,vodafone.com.tr,1
AS11845,voxtelecom.co.za,1
AS7738,vtal.com,2
AS7029,windstream.com,1
AS206283,yahsat.ae,3
AS197738,zastava.net.ua,1
AS58461,zjtelecom.com.cn,45