ASN Info,Domain,Count
AS37963,alibabagroup.com,251
AS4134,chinatelecom.com.cn,153
AS4538,cernet.edu.cn,107
AS63612,cnnic.cn,80
AS4837,chinaunicom.cn,65
AS4811,chinatelecom.com.cn,65
AS4808,chinaunicom.cn,47
AS58461,chinatelecom.cn,37
AS134771,chinatelecom.cn,34
AS9875,psn.co.id,32
AS13335,cloudflare.com,30
AS4812,chinatelecom.com.cn,28
AS23650,rtat.net,26
AS17995,iforte.co.id,24
AS139007,hh.nm.cn,20
AS4847,bta.net.cn,19
AS58563,chinatelecom.cn,18
AS138950,chinatelecom.cn,16
AS38283,chinatelecom.cn,14
AS9808,10086.cn,14
AS4766,kt.com,13
AS23724,chinatelecom.cn,12
AS136188,chinatelecom.cn,10
AS34939,nextdns.io,10
AS205157,danielselectric.com,9
AS56048,chinamobile.com,9
AS56041,chinamobile.com,9
AS134238,chinatelecom.cn,9
AS45090,tencent.com,9
AS140292,chinatelecom.cn,8
AS24445,chinamobile.com,8
AS134764,chinatelecom.cn,7
AS398962,controld.com,7
AS56046,chinamobile.com,7
AS137693,nn.gx.cn,6
AS136190,chinatelecom.cn,6
AS16509,amazon.com,5
AS134773,chinatelecom.cn,5
AS134810,chinamobile.com,5
AS133776,chinatelecom.cn,5
AS137697,chinatelecom.cn,5
AS133774,chinatelecom.cn,4
AS9318,skbroadband.com,4
AS58448,conac.cn,4
AS136200,chinatelecom.cn,4
AS51431,avabarid.com,3
AS4713,ntt.com,3
AS55990,huaweicloud.com,3
AS24921,lmt.lv,3
AS7497,cnic.cn,3
AS63663,cnnic.cn,3
AS133982,excitel.com,3
AS25549,avantel.ru,2
AS31549,shatel.ir,2
AS58224,tci.ir,2
AS57391,laser.ir,2
AS4760,netvigator.com,2
AS56765,sbu.ac.ir,2
AS10212,china-entercom.net,2
AS45820,tatatelebusiness.com,2
AS21782,plateautel.com,2
AS4835,chinatelecom.com.cn,2
AS48715,shahrad.net,2
AS24547,chinamobile.com,2
AS34918,pishgaman.net,2
AS32098,transtelco.net,2
AS20115,charter.com,2
AS58466,chinatelecom.cn,2
AS148981,ct1000.com,2
AS132280,symphony.net.th,2
AS133775,chinatelecom.cn,2
AS137702,chinatelecom.cn,2
AS137788,cnnic.cn,2
AS138421,chinaunicom.cn,2
AS139019,chinatelecom.cn,2
AS7738,vtal.com,2
AS206283,yahsat.ae,2
AS141679,chinatelecom.cn,2
AS42337,respina.net,2
AS58543,chinatelecom.cn,2
AS63548,lenovo.com,1
AS5607,sky.com,1
AS8473,bahnhof.se,1
AS47869,colohouse.com,1
AS47692,nessus.at,1
AS9021,isnet.net.tr,1
AS9121,turktelekom.com.tr,1
AS47376,ground.ir,1
AS9123,timeweb.ru,1
AS6327,shaw.ca,1
AS9286,kinx.net,1
AS46375,sonic.com,1
AS58542,chinatelecom.cn,1
AS9299,pldt.com,1
AS9498,airtel.in,1
AS45117,ishanitech.biz,1
AS9583,sifycorp.com,1
AS9812,scn.com.cn,1
AS43754,asiatech.ir,1
AS59029,people.cn,1
AS60077,asiatech.ir,1
AS50266,odido.nl,1
AS63835,189.cn,1
AS55836,jio.com,1
AS55423,jastel.co.th,1
AS54825,packet.com,1
AS52112,gentlent.com,1
AS51759,piroozonline.net,1
AS64022,kamatera.com,1
AS49100,pishgaman.net,1
AS48309,spadana.net,1
AS701,verizonbusiness.com,1
AS62442,fanavaidc.com,1
AS60782,inter-plus.eu,1
AS60631,parspack.com,1
AS60423,mggsnet.com,1
AS7922,comcast.com,1
AS8075,microsoft.com,1
AS7018,att.com,1
AS10029,spectra.co,1
AS42708,glesys.com,1
AS41095,iptp.com,1
AS15617,nova.gr,1
AS16097,pyur.com,1
AS16276,ovhcloud.com,1
AS16591,gfiber.com,1
AS17429,bgctv.com.cn,1
AS17621,chinaunicom.cn,1
AS17622,chinaunicom.cn,1
AS17623,chinaunicom.cn,1
AS17676,softbank.jp,1
AS19165,webpass.net,1
AS198394,yahsat.ae,1
AS200780,appliwave.com,1
AS203791,avantnet.ru,1
AS205647,rasana.net,1
AS208972,gibir.net.tr,1
AS15344,discoverflow.co,1
AS150986,altafocus.id,1
AS141057,fifacorp.co.id,1
AS132525,chinamobile.com,1
AS11556,cwpanama.net,1
AS12129,123.net,1
AS1257,tele2.se,1
AS12708,talktalkplc.com,1
AS12735,turk.net,1
AS12978,dr.com.tr,1
AS134420,chinatelecom.cn,1
AS140726,chinaunicom.cn,1
AS134762,chinatelecom.cn,1
AS13591,metrored.com.mx,1
AS136291,mpsedc.com,1
AS139080,chinamobile.com,1
AS140525,gigalinkhk.com,1
AS14061,digitalocean.com,1
AS212063,serverclick.com,1
AS22442,phonoscope.com,1
AS22573,nwtel.ca,1
AS36994,vodacom.com,1
AS34244,teleservice.net,1
AS34315,quantcom.cz,1
AS3462,hinet.net,1
AS34841,balchik.net,1
AS3549,lumen.com,1
AS36236,netactuate.com,1
AS37353,macrolan.co.za,1
AS328471,herotel.com,1
AS37457,telkom.co.za,1
AS37937,cei.gov.cn,1
AS38700,smileserv.com,1
AS39368,server.ir,1
AS39567,md6.fr,1
AS40509,fly.io,1
AS3303,swisscom.ch,1
AS32212,skyfiberinternet.com,1
AS22646,hargray.com,1
AS265691,win.pe,1
AS22652,fibrenoire.ca,1
AS22884,totalplay.com.mx,1
AS23889,telecom.mu,1
AS24085,qtsc.com.vn,1
AS24444,chinamobile.com,1
AS25184,afranet.com,1
AS27651,entel.cl,1
AS31898,oracle.com,1
AS27837,dialnet.net,1
AS28118,altice.com.do,1
AS28438,redit.com,1
AS29056,citycom-austria.com,1
AS29684,nour.net.sa,1
AS30844,liquidtelecom.com,1
AS3356,lumen.com,1
