Domain,Name Server,Count
cnnic.cn,"a.cnnic.cn.,b.cnnic.cn.,c.cnnic.cn.,d.cnnic.cn.,e.cnnic.cn.",2594
alibabagroup.com,"ns1.alibabadns.com.,ns2.alibabadns.com.",22046
verizonbusiness.com,"auth-ns1.verizonbusiness.com.,auth-ns2.verizonbusiness.com.,auth01.ns.uu.net.,auth200.ns.uu.net.,auth210.ns.uu.net.,auth50.ns.uu.net.,auth61.ns.uu.net.",1
chinaunicom.cn,"ns.bta.net.cn.,ns2.bta.net.cn.",2714
chinatelecom.com.cn,"dns1.chinatelecom.com.cn.,dns2.chinatelecom.com.cn.",7594
cdn77.com,"ns1.cdn77.com.,ns2.cdn77.com.",1
chinatelecom.cn,"dns1.chinatelecom.cn.,dns2.chinatelecom.cn.",1308
controld.com,"evan.ns.cloudflare.com.,liz.ns.cloudflare.com.",19
cernet.edu.cn,"dns.edu.cn.,dns2.edu.cn.",6513
psn.co.id,"ns1.pesat.net.id.,ns2.pesat.net.id.,ns3.pesat.net.id.",377
zjtelecom.com.cn,"ns7.cnmsn.net.,ns8.cnmsn.net.",219
nn.gx.cn,"ns.lzptt.gx.cn.,ns.nn.gx.cn.",1
packet.com,"dns1.p01.nsone.net.,dns2.p01.nsone.net.,dns3.p01.nsone.net.,dns4.p01.nsone.net.",1
nextdns.io,"dawn.ns.cloudflare.com.,lee.ns.cloudflare.com.",30
10086.cn,"ns1.cmmobile.cn.,ns1.cnmobile.net.,ns2.cmmobile.cn.,ns2.cnmobile.net.",196
chartercom.com,"ns1.charter.com.,ns2.charter.com.,ns3.charter.com.,ns4.charter.com.",1
cloudflare.com,"ns3.cloudflare.com.,ns4.cloudflare.com.,ns5.cloudflare.com.,ns6.cloudflare.com.,ns7.cloudflare.com.",54
shatel.ir,"ns1.shatel.ir.,ns2.shatel.ir.",3
gd.gov.cn,"ns1.gd.gov.cn.,ns2.gd.gov.cn.",5
danielselectric.com,"ns1.mediatemple.net.,ns2.mediatemple.net.",57
nos.pt,"ns5.nos.pt.,ns6.nos.pt.",2
jsinfo.net,"ns.jsinfo.net.,ns.ptt.js.cn.",264
iforte.co.id,"ns1.iforte.net.id.,ns2.iforte.net.id.,ns3.iforte.net.id.,ns4.iforte.net.id.",234
i3d.net,"ns1.i3d.nl.,ns2.i3d.net.,ns3.i3d.network.",5
odido.nl,"ns1.openprovider.nl.,ns2.openprovider.be.,ns3.openprovider.eu.",1
nazwa.pl,"ns1.nazwa.pl.,ns2.nazwa.pl.,ns3.nazwa.pl.",1
pishgaman.net,"ns1.pishgaman.net.,ns2.pishgaman.net.",5
netvigator.com,"ns4.netvigator.com.,ns5.netvigator.com.",5
tencent.com,"ns1.qq.com.,ns2.qq.com.,ns3.qq.com.,ns4.qq.com.",116
cnic.cn,"ns3.cstnet.cn.,ns4.cstnet.cn.",8
conac.cn,"ns1.sdc.org.cn.,ns2.sdc.org.cn.,ns3.sdc.org.cn.",17
morva.net,"win10.morvahost.com.,win9.morvahost.com.",1
idstrategy.com.ua,"ns.idstrategy.com.ua.,ns2.idstrategy.com.ua.,ns3.idstrategy.com.ua.",1
chess.no,"ns1.hyp.net.,ns2.hyp.net.,ns3.hyp.net.",1
myrepublic.co.id,"erin.ns.cloudflare.com.,scott.ns.cloudflare.com.",1
convergeict.com,"ns3.metroconnect.com.ph.,ns4.metroconnect.com.ph.",1
dnsfilter.com,"amir.ns.cloudflare.com.,pam.ns.cloudflare.com.",1
ntt.com,"ns-os001.ocn.ad.jp.,pns.ocn.ad.jp.",2
manitu.de,"dns.fh-trier.de.,dns01.manitu.net.,dns02.manitu.net.,dns03.manitu.net.,dns04.manitu.net.,ns.umwelt-campus.de.",1
yahsat.ae,"pdns01.domaincontrol.com.,pdns02.domaincontrol.com.",5
constant.com,"ns1.constant.com.,ns2.constant.com.",1
tookan.tech,"tom.ns.cloudflare.com.,uma.ns.cloudflare.com.",1
hkbnes.net,"a1-138.akam.net.,a11-66.akam.net.,a2-66.akam.net.,a24-67.akam.net.,a26-64.akam.net.,a5-66.akam.net.",2
camtel.cm,"benoue.camnet.cm.,kim.camnet.cm.,lom.camnet.cm.,mbam.camnet.cm.",1
he.net,"ns1.he.net.,ns2.he.net.,ns3.he.net.,ns4.he.net.,ns5.he.net.",1
taknet.ir,"ns1.taknet.ir.,ns3.taknet.ir.,ns4.taknet.ir.",2
priscoelectronica.com,"ns1.priscocloud.net.,ns2.priscocloud.net.",1
lmt.lv,"gsm2.lmt.lv.,lte4.lmt.lv.,ns2.online.lv.",10
tele2.se,"pitea.dns.swip.net.,sunic.sunet.se.,ystad.dns.swip.net.",3
mpsedc.com,ccrac6.4cplus.com.,2
afranet.com,"ns.afranet.com.,ns1.afranet.com.,ns2.afranet.com.,ns3.afranet.com.,ns4.afranet.com.",2
kddi.com,"dns103.kddi.ne.jp.,dns104.kddi.ne.jp.,dnsa01.kddi.ne.jp.,dnsa02.kddi.ne.jp.",1
hinet.net,"ans1.hinet.net.,ans2.hinet.net.,ans3.hinet.tw.",2
globalconnect.no,"a.ns.isp.as2116.net.,b.ns.isp.as2116.net.,c.ns.isp.as2116.net.,d.ns.isp.as2116.net.",1
orange.com,"dns1.comlaude-dns.com.,dns2.comlaude-dns.net.,dns3.comlaude-dns.co.uk.,dns4.comlaude-dns.eu.",1
claro.com.br,"ns01.claro.net.br.,ns02.claro.net.br.,ns03.claro.net.br.,ns04.claro.net.br.",1
oracle.com,"a1-160.akam.net.,a11-66.akam.net.,a13-65.akam.net.,a18-67.akam.net.,ns1.p201.dns.oraclecloud.net.,ns2.p201.dns.oraclecloud.net.,ns3.p201.dns.oraclecloud.net.,ns4.p201.dns.oraclecloud.net.",1
fanaptelecom.net,"ns1.fanaptelecom.net.,ns2.fanaptelecom.net.,ns3.fanaptelecom.net.,ns4.fanaptelecom.net.",9
totalplay.com.mx,"ns3.totalplay.com.mx.,ns4.totalplay.com.mx.,ns5.totalplay.com.mx.",1
syr.edu,"icarus.syr.edu.,its-ndd-nc-extns-01.syr.edu.,its-ndd-sc-extns-01.syr.edu.,lurch.cns.syr.edu.,lurch.syr.edu.,ns1.syr.edu.,ns2.syr.edu.",1
antel.com.uy,"portal1.antel.com.uy.,portal2.antel.com.uy.",1
parspack.com,"ns10.parspack.com.,ns11.parspack.com.,ns12.parspack.com.",1
ncts.com.eg,"cache.afmic.gov.eg.,dns1.afmic.gov.eg.,dns2.afmic.gov.eg.,dns3.afmic.gov.eg.,dns4.afmic.gov.eg.,dns5.afmic.gov.eg.",1
kt.com,"name.kt.co.kr.,name2.kt.co.kr.,name3.kt.co.kr.",14
master.cz,"ns1.master.cz.,ns2.master.cz.,ns3.master.cz.",1
yota.com.ni,"henry.ns.cloudflare.com.,zita.ns.cloudflare.com.",1
vyvebroadband.com,"ns1.hover.com.,ns2.hover.com.",1
antidot.ua,"anirban.ns.cloudflare.com.,maria.ns.cloudflare.com.",1
telenet.be,"ns.telenet-ops.be.,ns2.telenet-ops.be.",1
lguplus.co.kr,"ns.lguplus.co.kr.,nsdr.lguplus.co.kr.",1
claro.com.gt,"ns.comtech.net.gt.,ns.telgua.com.gt.,ns1.claro.com.gt.,ns1.claro.com.pa.",1
binawan.ac.id,"bailey.ns.cloudflare.com.,lou.ns.cloudflare.com.",2
maxis.com.my,"isgbns3.,ns3.maxis.com.my.,ns4.maxis.com.my.,ns8.maxis.com.my.,ns9.maxis.com.my.",1
bgctv.com.cn,"ns1.alidns.com.,ns2.alidns.com.",4
sbu.ac.ir,"ns1.sbu.ac.ir.,ns2.sbu.ac.ir.",4
adguard.com,"kim.ns.cloudflare.com.,todd.ns.cloudflare.com.",1
amazon.com,"ns1.amzndns.co.uk.,ns1.amzndns.com.,ns1.amzndns.net.,ns1.amzndns.org.,ns2.amzndns.co.uk.,ns2.amzndns.com.,ns2.amzndns.net.,ns2.amzndns.org.",1
ip-projects.de,"ns3.ip-projects.de.,ns4.ip-projects.de.",1
megacable.com.mx,"a1-223.akam.net.,a11-64.akam.net.,a16-65.akam.net.,a26-65.akam.net.,a4-64.akam.net.,a9-65.akam.net.",1
fibrlink.com,"ns.fibrlink.net.,ns2.fibrlink.net.",2
contabo.com,"ben.ns.cloudflare.com.,sue.ns.cloudflare.com.",1
dadepardazimobin.com,"alex.ns.cloudflare.com.,veda.ns.cloudflare.com.",1
netactuate.com,"brad.ns.cloudflare.com.,nora.ns.cloudflare.com.",2
china-entercom.net,"dns1.cibonet.com.,dns2.cibonet.com.",5
telekom3.de,"ns1.telekom.net.,pns.dtag.de.",1
talktalkplc.com,"ds0.opaltelecom.net.,ds1.opaltelecom.net.,ds2.opaltelecom.net.",1
polinpdg.ac.id,"giancarlo.ns.cloudflare.com.,leia.ns.cloudflare.com.",1
accelecom.net,"ns1-09.azure-dns.com.,ns2-09.azure-dns.net.,ns3-09.azure-dns.org.,ns4-09.azure-dns.info.",1
asiatech.ir,"ns1.asiatech.ir.,ns2.asiatech.ir.",1
telmex.com,"ns10.telmex.com.,ns11.telmex.com.,ns8.telmex.com.,ns9.telmex.com.",1
skbroadband.com,"ns.hananet.net.,ns2.hananet.net.",10
meo.pt,"coltrane.telepac.pt.,ns2.telepac.pt.,ns3.telepac.pt.,ns4.telepac.pt.",1
so-net.net.tw,"ns-cloud-e1.googledomains.com.,ns-cloud-e2.googledomains.com.,rns1.so-net.net.tw.,rns2.so-net.net.tw.",1
excitel.com,"alla.ns.cloudflare.com.,will.ns.cloudflare.com.",10
cogeco.com,"ns1.cgocable.net.,ns2.cgocable.net.,ns3.cgocable.ca.,ns4.cgocable.ca.",1
echosp.co.za,"ns.dns1.co.za.,ns.dns2.co.za.,ns.otherdns.com.,ns.otherdns.net.",1
baidu.com,"dns.baidu.com.,ns2.baidu.com.,ns3.baidu.com.,ns4.baidu.com.,ns7.baidu.com.",1
linesystems.com,"ns1.buckeyecom.net.,ns2.buckeyecom.net.,ns3.buckeyecom.net.",1
opendns.com,"auth1.opendns.com.,auth2.opendns.com.,auth3.opendns.com.",1
respina.net,"ns01.respina.net.,ns02.respina.net.",2
swisscom.ch,"dns1.swisscom.com.,dns2.swisscom.com.,dns3.swisscom.com.",1
patrikweb.net,"ns1.patrikweb.com.,ns2.patrikweb.com.",1
sunrise.ch,"ns1.sunrise.ch.,ns2.sunrise.ch.,ns3.sunrise.ch.,ns4.sunrise.ch.",1
nitco.com,"ns1.netnitco.net.,ns2.netnitco.net.,ns3.netnitco.net.",1
vee.com.tw,"ns1.emax.net.tw.,ns2.emax.net.tw.,ns3.emax.net.tw.",1
bitel.de,"ns01.bitel.net.,ns02.bitel.net.,ns03.bitel.net.",1
comcast.com,"dns101.comcast.net.,dns102.comcast.net.,dns103.comcast.net.,dns104.comcast.net.,dns105.comcast.net.",1
fanavaidc.com,"ns1.fanavaidc.com.,ns2.fanavaidc.com.",1
homeplus.net.tw,"58.86.33.10.,58.86.34.10.,celtics.homeplus.net.tw.,celtics2.homeplus.net.tw.,clippers.homeplus.net.tw.,lakers.homeplus.net.tw.,lakers2.cns.net.tw.",1
transtelco.net,"ns00.transtelco.net.,ns01.transtelco.net.,ns02.transtelco.net.,ns03.transtelco.net.,ns04.transtelco.net.",10
globalconnect.se,"ns1.eurodns.com.,ns2.eurodns.com.,ns3.eurodns.com.,ns4.eurodns.com.",1
bredband2.com,"lee.ns.cloudflare.com.,olga.ns.cloudflare.com.",1
aminidc.com,"ns1.aminidc.com.,ns2.aminidc.com.,ns3.aminidc.com.,ns4.aminidc.com.",1
hgc-intl.com,"dnshost1.on-nets.com.,dnshost2.on-nets.com.",1
prtcnet.com,"NS2.prtcom.com.,ns1.prtcom.com.",1
vodafone.it,"ns1.vodafone.com.,ns3.vodafone.com.,ns5.vodafone.com.",1
simbafiber.co.zm,"ns1.jcpbusiness.com.,ns2.jcpbusiness.com.",1
homesc.com,"ns-1206.awsdns-22.org.,ns-144.awsdns-18.com.,ns-1975.awsdns-54.co.uk.,ns-670.awsdns-19.net.",1
moratelindo.co.id,"ns1.cepat.net.id.,ns3.cepat.net.id.,ns4.cepat.net.id.",1
lumen.com,"authns1.qwest.net.,authns2.qwest.net.",1
tm.com.my,"ns1.a0.impervasecuredns.net.,ns1.a1.impervasecuredns.net.",1
vtal.com,"ns03.vtal.com.br.,ns04.vtal.com.br.",1
cei.gov.cn,"ns1.cei.cn.,ns2.cei.cn.",4
monsternett.no,"ns1.monsternett.no.,ns2.monsternett.no.",1
topmso.com.tw,"ns1.topmso.com.tw.,ns2.topmso.com.tw.",1
free.fr,"freens1-g20.free.fr.,freens2-g20.free.fr.,freens3-scw.free.fr.",1
ais.co.th,"master01.csloxinfo.com.,master02.csloxinfo.com.,ns1.ais.co.th.,ns2.ais.co.th.",1
lumenet.com.mx,"ns1.lumenet-comunicaciones.com.,ns3.lumenet-comunicaciones.com.",1
jcntv.co.kr,"ns-1413.awsdns-48.org.,ns-1658.awsdns-15.co.uk.,ns-435.awsdns-54.com.,ns-873.awsdns-45.net.",1
stratusiq.com,"ns1.stratusiq.com.,ns2.stratusiq.com.",1
svcpl.net.in,"ns53.domaincontrol.com.,ns54.domaincontrol.com.",1
columbia.edu,"auth1.dns.cogentco.com.,auth2.dns.cogentco.com.,auth4.dns.cogentco.com.,auth5.dns.cogentco.com.,ext-ns1.columbia.edu.,ns1.lse.ac.uk.",1
